Year,Month,Week,Rank,Title,Artist,Genre
2014,1,2,1,The Monster,Eminem Featuring Rihanna,랩/힙합
2014,1,2,2,Timber,Pitbull Featuring Ke$ha,랩/힙합
2014,1,2,3,Counting Stars,OneRepublic,POP
2014,1,2,4,Royals,Lorde,POP
2014,1,2,5,Say Something,A Great Big World & Christina Aguilera,POP
2014,1,2,6,Demons,Imagine Dragons,POP
2014,1,2,7,Let Her Go,Passenger,포크
2014,1,2,8,Roar,Katy Perry,POP
2014,1,2,9,Story Of My Life,One Direction,POP
2014,1,2,10,Wake Me Up!,Avicii,일렉트로니카
2014,1,2,11,Dark Horse,Katy Perry Featuring Juicy J,POP
2014,1,2,12,Wrecking Ball,Miley Cyrus,POP
2014,1,2,13,Burn,Ellie Goulding,POP
2014,1,2,14,23,Mike WiLL Made-It Featuring Miley Cyrus,랩/힙합
2014,1,2,15,Hold On,Drake Featuring Majid Jordan,랩/힙합
2014,1,2,16,Sweater Weather,The Neighbourhood,록/메탈
2014,1,2,17,Drunk In Love,Beyonce Featuring Jay Z,R&B/Soul
2014,1,2,18,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,랩/힙합
2014,1,2,19,Team,Lorde,POP
2014,1,2,20,Unconditionally,Katy Perry,POP
2014,1,2,21,Pompeii,Bastille,POP
2014,1,2,22,Adore You,Miley Cyrus,POP
2014,1,2,23,Do What U Want,Lady Gaga Featuring R. Kelly,POP
2014,1,2,24,My Hitta,YG Featuring Jeezy & Rich Homie Quan,랩/힙합
2014,1,2,25,Radioactive,Imagine Dragons,POP
2014,1,2,26,Applause,Lady Gaga,POP
2014,1,2,27,Stay The Night,Zedd Featuring Hayley Williams,일렉트로니카
2014,1,2,28,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,R&B/Soul
2014,1,2,29,Holy Grail,Jay Z Featuring Justin Timberlake,랩/힙합
2014,1,2,30,Gas Pedal,Sage The Gemini Featuring IamSu!,랩/힙합
2014,1,2,31,Stay,Florida Georgia Line,컨트리
2014,1,2,32,Let It Go,Idina Menzel,POP
2014,1,2,33,Rap God,Eminem,랩/힙합
2014,1,2,34,That's My Kind Of Night,Luke Bryan,컨트리
2014,1,2,35,Sail,AWOLNATION,록/메탈
2014,1,2,36,Brave,Sara Bareilles,POP
2014,1,2,37,Drink A Beer,Luke Bryan,컨트리
2014,1,2,38,Turn Down For What,DJ Snake & Lil Jon,일렉트로니카
2014,1,2,39,Marry Me,Jason Derulo,R&B/Soul
2014,1,2,40,Replay,Zendaya,록/메탈
2014,1,2,41,All Me,Drake Featuring 2 Chainz & Big Sean,랩/힙합
2014,1,2,42,Show Me,Kid Ink Featuring Chris Brown,랩/힙합
2014,1,2,43,Let It Go,Demi Lovato,애니메이션/웹툰
2014,1,2,44,Love More,Chris Brown Featuring Nicki Minaj,R&B/Soul
2014,1,2,45,Safe And Sound,Capital Cities,일렉트로니카
2014,1,2,46,Whatever She's Got,David Nail,컨트리
2014,1,2,47,Wasting All These Tears,Cassadee Pope,POP
2014,1,2,48,Berzerk,Eminem,랩/힙합
2014,1,2,49,It Won't Stop,Sevyn Streeter Featuring Chris Brown,R&B/Soul
2014,1,2,50,Carolina,Parmalee,컨트리
2014,1,2,51,Chillin' It,Cole Swindell,R&B/Soul
2014,1,2,52,Best Day Of My Life,American Authors,POP
2014,1,2,53,HeadBand,B.o.B Featuring 2 Chainz,POP
2014,1,2,54,Best Song Ever,One Direction,POP
2014,1,2,55,Animals,Martin Garrix,일렉트로니카
2014,1,2,56,Drunk Last Night,Eli Young Band,컨트리
2014,1,2,57,When She Says Baby,Jason Aldean,POP
2014,1,2,58,The Fox,Ylvis,POP
2014,1,2,59,All That Matters,Justin Bieber,POP
2014,1,2,60,TKO,Justin Timberlake,POP
2014,1,2,61,Sweet Annie,Zac Brown Band,POP
2014,1,2,62,Love Me Again,John Newman,R&B/Soul
2014,1,2,63,The Language,Drake,랩/힙합
2014,1,2,64,Survival,Eminem,랩/힙합
2014,1,2,65,Do You Want To Build A Snowman?,Kristen Bell,POP
2014,1,2,66,Hey Brother,Avicii,일렉트로니카
2014,1,2,67,We Were Us,Keith Urban And Miranda Lambert,발라드
2014,1,2,68,All Of Me,John Legend,R&B/Soul
2014,1,2,69,Don't Let Me Be Lonely,The Band Perry,컨트리
2014,1,2,70,Friday Night,Eric Paslay,컨트리
2014,1,2,71,Alone Together,Fall Out Boy,록/메탈
2014,1,2,72,Compass,Lady Antebellum,컨트리
2014,1,2,73,XO,Beyonce,R&B/Soul
2014,1,2,74,For The First Time In Forever,Kristen Bell & Idina Menzel,POP
2014,1,2,75,Radio,Darius Rucker,컨트리
2014,1,2,76,I Luv This Sh*t,August Alsina Featuring Trinidad James,R&B/Soul
2014,1,2,77,Sunny And 75,Joe Nichols,컨트리
2014,1,2,78,Up All Night,Jon Pardi,컨트리
2014,1,2,79,See You Tonight,Scotty McCreery,컨트리
2014,1,2,80,Bottoms Up,Brantley Gilbert,컨트리
2014,1,2,81,Bounce It,Juicy J Featuring Wale & Trey Songz,랩/힙합
2014,1,2,82,Mine,Beyonce Featuring Drake,POP
2014,1,2,83,Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,컨트리
2014,1,2,84,Up Down (Do This All Day),T-Pain Featuring B.o.B,랩/힙합
2014,1,2,85,Talk Dirty,Jason Derulo Featuring 2 Chainz,R&B/Soul
2014,1,2,86,Helluva Life,Frankie Ballard,컨트리
2014,1,2,87,Waiting For Superman,Daughtry,H
2014,1,2,88,Heart Attack,Enrique Iglesias,POP
2014,1,2,89,Gorilla,Bruno Mars,R&B/Soul
2014,1,2,90,Honest,Future,랩/힙합
2014,1,2,91,Perfume,Britney Spears,POP
